Column,Name,Category,Description
city,city,other,Name of the city
country,country,other,Name of the country
x1,meal_cheap,restaurant,"Meal, Inexpensive Restaurant (USD)"
x2,meal_mid,restaurant,"Meal for 2 People, Mid-range Restaurant, Three-course (USD)"
x3,meal_mcd,restaurant,McMeal at McDonalds (or Equivalent Combo Meal) (USD)
x4,r_beer_dom,restaurant,"Domestic Beer (0.5 liter draught, in restaurants) (USD)"
x5,r_beer_imp,restaurant,"Imported Beer (0.33 liter bottle, in restaurants) (USD)"
x6,r_cappuccino,restaurant,"Cappuccino (regular, in restaurants) (USD)"
x7,r_coke,restaurant,"Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)"
x8,r_water,restaurant,"Water (0.33 liter bottle, in restaurants) (USD)"
x9,milk_1L,market,"Milk (regular), (1 liter) (USD)"
x10,bread_white,market,Loaf of Fresh White Bread (500g) (USD)
x11,rice_1kg,market,"Rice (white), (1kg) (USD)"
x12,eggs_doz,market,Eggs (regular) (12) (USD)
x13,cheese_local_1kg,market,Local Cheese (1kg) (USD)
x14,chicken_fillet_1kg,market,Chicken Fillets (1kg) (USD)
x15,beef_round_1kg,market,Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD)
x16,apple_1kg,market,Apples (1kg) (USD)
x17,banana_1kg,market,Banana (1kg) (USD)
x18,orange_1kg,market,Oranges (1kg) (USD)
x19,tomato_1kg,market,Tomato (1kg) (USD)
x20,potato_1kg,market,Potato (1kg) (USD)
x21,onion_1kg,market,Onion (1kg) (USD)
x22,lettuce,market,Lettuce (1 head) (USD)
x23,water_1.5L,market,"Water (1.5 liter bottle, at the market) (USD)"
x24,winebottle_mid,market,"Bottle of Wine (Mid-Range, at the market) (USD)"
x25,beer_dom,market,"Domestic Beer (0.5 liter bottle, at the market) (USD)"
x26,beer_imp,market,"Imported Beer (0.33 liter bottle, at the market) (USD)"
x27,cigarettes_20,market,Cigarettes 20 Pack (Marlboro) (USD)
x28,ticket,transportation,One-way Ticket (Local Transport) (USD)
x29,ticket_month,transportation,Monthly Pass (Regular Price) (USD)
x30,taxi_start,transportation,Taxi Start (Normal Tariff) (USD)
x31,taxi_1km,transportation,Taxi 1km (Normal Tariff) (USD)
x32,taxi_1hrwait,transportation,Taxi 1hour Waiting (Normal Tariff) (USD)
x33,gas_1L,transportation,Gasoline (1 liter) (USD)
x34,vw_golf,transportation,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD)
x35,toyota_corolla,transportation,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD)
x36,basic,utilities,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)"
x37,mobile_1min,utilities,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD)
x38,internet,utilities,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)"
x39,gym_month,leisure,"Fitness Club, Monthly Fee for 1 Adult (USD)"
x40,tennis_rent,leisure,Tennis Court Rent (1 Hour on Weekend) (USD)
x41,cinema,leisure,"Cinema, International Release, 1 Seat (USD)"
x42,preschool,childcare,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)"
x43,primary_school,childcare,"International Primary School, Yearly for 1 Child (USD)"
x44,jeans,clothing,1 Pair of Jeans (Levis 501 Or Similar) (USD)
x45,summer_dress,clothing,"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)"
x46,shoes_running,clothing,1 Pair of Nike Running Shoes (Mid-Range) (USD)
x47,shoes_business,clothing,1 Pair of Men Leather Business Shoes (USD)
x48,bed1_centre,home,Apartment (1 bedroom) in City Centre (USD)
x49,bed1_out,home,Apartment (1 bedroom) Outside of Centre (USD)
x50,bed3_centre,home,Apartment (3 bedrooms) in City Centre (USD)
x51,bed3_out,home,Apartment (3 bedrooms) Outside of Centre (USD)
x52,buy_centre,home,Price per Square Meter to Buy Apartment in City Centre (USD)
x53,buy_out,home,Price per Square Meter to Buy Apartment Outside of Centre (USD)
x54,salary,home,Average Monthly Net Salary (After Tax) (USD)
x55,mortgage,home,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
data_quality,data_quality,other,"0 if Numbeo considers that more contributors are needed to increase data quality, else 1"