,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
75,Salaberry-de-Valleyfield,13.34,66.7,8.15,4.45,4.82,3.39,1.59,1.46,2.59,2.12,3.28,2.67,8.77,9.42,10.38,3.45,1.12,2.43,2.22,1.59,1.75,1.79,2.96,11.12,2.51,1.48,13.34,,,3.15,1.24,31.5,1.4,17846.89,17046.44,115.62,0.41,51.14,,,8.89,978.32,,46.11,20.75,65.86,84.0,,,1037.61,1037.61,,,,7.45,0,45.25,-74.13,Quebec,42410.0
76,Rouyn-Noranda,9.26,59.29,8.52,3.89,4.45,3.09,2.22,1.36,1.76,2.64,3.31,2.59,11.72,8.95,15.96,4.39,1.45,4.0,4.08,2.75,2.0,1.73,1.24,11.12,2.97,2.87,8.89,2.22,25.94,2.96,3.71,,1.57,,17046.44,96.35,0.74,63.0,34.59,0.0,8.89,133.41,,36.81,25.94,93.88,86.96,629.98,518.8,1037.61,864.67,,,,2.95,0,48.2333,-79.0167,Quebec,42334.0
77,Timmins,14.82,59.29,8.89,3.34,4.45,2.78,1.91,1.05,1.99,2.04,2.48,2.49,5.48,9.75,12.85,2.09,1.63,3.14,3.94,1.7,4.01,1.58,1.73,11.12,1.96,2.59,8.89,2.41,59.29,3.45,1.07,31.5,1.52,22605.07,15260.64,144.66,0.56,66.81,80.34,6.18,8.89,815.26,8893.8,44.34,37.06,87.58,108.16,778.21,654.68,1334.07,1111.72,2393.3,2792.18,2964.6,7.27,0,48.4667,-81.3333,Ontario,41788.0
78,Innisfil,14.82,59.29,9.63,4.82,5.37,3.33,1.95,1.53,1.96,2.22,2.43,2.96,8.28,11.92,13.14,3.2,1.26,2.99,3.36,2.81,2.47,2.3,1.48,11.86,1.8,2.47,11.86,,,2.41,1.3,22.23,1.44,18528.74,19623.25,182.1,0.33,66.15,37.06,,10.75,963.49,19673.2,51.88,36.73,69.17,102.73,1334.07,1111.72,2223.45,1852.87,7977.67,,,5.24,0,44.3,-79.5833,Ontario,36566.0
79,Prince Albert,11.12,50.4,8.89,4.45,5.19,2.73,1.99,1.76,1.14,1.66,4.45,2.96,8.4,13.36,14.76,4.56,2.66,3.46,4.38,2.96,2.84,1.6,1.71,19.64,1.86,2.22,10.38,1.85,,2.59,2.22,25.2,1.34,39280.94,22234.49,148.23,0.74,56.33,,22.23,9.12,555.86,11858.4,63.0,,76.89,94.5,592.92,,963.49,963.49,,,,4.11,0,53.2,-105.75,Saskatchewan,35926.0
80,Campbell River,14.82,44.47,8.89,4.45,5.93,3.93,2.08,1.7,3.1,2.5,6.11,3.44,22.16,15.22,18.57,4.77,1.39,3.58,4.0,2.81,2.2,2.47,2.47,11.12,1.48,4.45,11.12,1.85,55.59,2.96,1.29,29.65,1.77,21863.92,24457.94,107.11,0.19,58.37,38.91,11.12,11.12,,18528.74,46.93,46.94,106.54,105.98,1185.84,1053.05,2112.28,1871.4,3442.36,3095.34,2223.45,6.21,0,50.0244,-125.2475,British Columbia,35138.0
81,Spruce Grove,13.34,59.29,9.26,5.56,5.93,3.15,2.59,2.22,2.33,1.57,4.07,3.01,,14.82,,3.71,2.96,3.7,,1.85,,2.2,,6.67,,,,3.71,,5.93,,,1.16,,,121.34,,63.0,40.76,25.2,8.89,,,63.0,,88.94,,,,,,,,,,0,53.545,-113.9008,Alberta,34066.0
82,Moose Jaw,14.82,55.59,8.89,5.19,6.3,3.29,2.16,1.65,1.48,1.91,1.63,3.19,10.28,8.17,10.93,3.15,1.06,2.96,2.88,1.91,1.74,2.22,1.98,11.12,2.98,3.52,12.97,0.93,29.65,2.59,0.56,22.23,1.35,20752.19,20011.04,154.9,0.19,54.66,55.59,48.17,7.41,567.6,7893.24,29.65,25.94,79.67,101.91,,,,,,,1185.84,4.66,0,50.3933,-105.5519,Saskatchewan,33890.0
83,Penticton,13.34,53.73,7.41,4.45,5.93,3.47,1.5,1.48,1.84,2.05,1.48,3.1,14.82,10.17,14.45,2.17,0.77,2.91,2.91,2.02,0.73,2.09,1.76,10.93,2.38,2.22,11.12,1.67,,2.71,1.39,24.46,1.52,18158.17,18405.22,142.92,0.33,53.55,48.79,9.39,11.12,1000.55,7411.5,54.94,44.32,86.71,120.31,1235.25,988.2,2001.1,1778.76,5421.72,3189.88,,6.83,0,49.4911,-119.5886,British Columbia,33761.0
84,Lloydminster,11.12,50.4,8.89,4.45,5.19,2.73,1.99,1.65,1.84,1.66,3.05,3.19,8.4,10.9,10.93,3.15,1.44,3.11,2.88,1.91,1.74,1.6,1.71,11.12,1.86,2.22,11.12,5.93,0.0,2.96,1.45,25.2,1.32,20752.19,20322.33,177.46,0.25,54.66,33.91,18.53,9.12,481.75,7893.24,48.17,41.92,76.89,94.5,555.86,555.86,889.38,889.38,,,,4.11,0,53.2783,-110.005,Saskatchewan,31410.0
85,Orillia,13.34,111.17,10.01,5.19,6.67,4.2,2.72,1.61,2.69,2.34,3.54,2.22,,12.69,,4.69,0.96,3.88,3.97,4.13,3.02,2.79,2.59,10.01,,,9.63,1.93,,2.5,1.24,25.2,1.49,37057.49,33351.74,204.74,,84.0,75.04,51.88,11.12,652.21,,49.16,40.27,98.82,121.05,1037.61,833.79,1852.87,1704.64,,,,,0,44.6,-79.4167,Ontario,31166.0
86,Orangeville,37.06,92.64,14.82,3.78,,3.71,1.11,1.3,1.7,2.72,2.43,4.45,13.0,9.88,,2.13,1.85,3.15,3.95,2.1,2.03,2.22,1.11,,,,12.23,1.48,63.0,3.71,0.93,,1.49,,,203.82,0.37,61.76,44.47,,7.41,1334.07,,42.0,29.65,126.0,185.29,1151.99,,2001.1,,,,3557.52,,0,43.9167,-80.1167,Ontario,30734.0
87,Fort Erie,11.12,59.29,7.23,4.45,5.19,3.15,1.39,1.15,1.79,1.98,2.16,2.58,9.73,9.19,11.13,2.96,1.04,2.55,3.14,0.82,2.15,2.08,1.11,10.86,1.96,2.22,8.27,2.59,55.59,2.59,1.85,25.94,1.49,19739.78,17046.44,110.28,0.68,55.32,48.17,22.23,9.63,592.92,26681.39,51.13,39.84,92.64,103.35,,,,,,,,4.72,0,42.9167,-79.0167,Ontario,30710.0
88,Sept-Iles,15.56,71.15,10.75,,,,,1.48,2.19,3.0,6.98,3.26,12.08,15.56,21.49,5.62,1.68,6.54,4.59,2.43,2.84,2.33,2.22,15.56,,,,,,,,,,,,97.58,0.23,59.04,,,5.93,,,44.47,,103.76,,1185.84,1111.72,1778.76,1482.3,,,,,0,50.2167,-66.3833,Quebec,28534.0
89,Courtenay,18.16,47.8,8.89,4.82,5.93,3.8,1.73,1.77,1.77,1.82,2.66,2.8,12.69,11.52,14.7,3.15,1.56,3.1,2.67,2.69,2.97,1.77,1.92,14.08,2.04,2.22,10.38,1.48,40.76,2.71,1.43,26.9,1.61,22234.49,15966.22,91.93,0.26,60.22,66.7,11.12,9.63,1059.84,2816.37,55.4,32.12,64.85,112.41,1056.14,889.38,2198.74,1704.64,3589.95,2788.09,3732.89,3.73,0,49.6878,-124.9944,British Columbia,25599.0
90,Whitehorse,14.45,55.59,8.52,5.19,5.93,3.71,1.42,1.6,3.37,4.06,5.49,3.14,8.97,17.14,15.87,3.9,2.01,3.21,3.6,1.81,1.93,2.47,3.01,14.82,1.58,1.85,15.56,1.85,45.95,3.15,1.63,25.2,2.34,14822.99,19772.64,138.97,,110.06,42.74,,9.45,,,51.88,37.06,100.06,129.7,1111.72,815.26,1630.53,1482.3,,,3277.36,8.75,0,60.7029,-135.0691,Yukon,25085.0
91,Fort Saskatchewan,29.65,51.88,8.34,5.93,5.93,4.2,2.27,1.73,2.47,2.72,4.56,3.34,10.38,10.13,9.26,4.18,2.04,4.67,3.55,3.95,2.72,2.37,2.41,18.53,1.52,3.34,14.82,1.85,,2.59,2.32,37.06,1.22,20752.19,23716.79,98.15,,71.4,40.52,0.0,11.86,741.15,,54.35,20.38,97.34,92.64,629.98,741.15,1111.72,1241.43,,,4076.32,3.31,0,53.7128,-113.2133,Alberta,24149.0
92,Baie-Comeau,26.31,88.82,11.49,6.66,9.63,4.56,2.04,1.85,1.42,2.47,10.38,3.89,13.7,16.22,26.98,6.76,3.48,11.16,6.52,5.15,5.07,4.44,2.93,23.68,,,18.53,,,,,,,,,157.56,0.21,96.34,73.37,,,,,,,,,2445.79,2297.56,3075.77,2927.54,,,2149.33,4.53,0,49.2167,-68.15,Quebec,21536.0
93,Fort St. John,14.08,42.62,8.15,5.56,6.3,3.71,1.72,1.6,2.16,2.1,3.62,2.47,6.67,8.89,18.53,4.03,0.65,4.22,4.15,3.34,2.28,1.85,3.34,14.82,,,12.23,1.48,59.29,2.04,1.11,25.2,1.32,23346.22,19269.89,77.86,0.24,68.8,54.1,,12.23,370.57,,35.2,35.72,59.29,125.85,716.44,850.47,1315.54,1482.3,,,3387.05,5.47,0,56.2465,-120.8476,British Columbia,20155.0
94,Corner Brook,15.56,92.64,11.12,3.89,5.19,3.95,1.79,1.65,3.18,2.52,11.12,3.31,,9.26,,3.71,2.22,5.19,3.71,2.96,2.96,2.96,2.96,16.68,,,14.82,1.85,,2.04,2.22,,1.49,37057.49,18528.74,118.95,0.37,88.01,65.47,,8.15,778.21,,61.76,25.94,105.43,108.7,592.92,444.69,,,,,1185.84,5.46,0,48.9287,-57.926,Newfoundland and Labrador,19806.0
95,Yellowknife,16.68,111.17,9.63,7.41,7.78,4.45,2.22,2.47,3.29,2.22,3.21,3.25,8.15,9.26,32.61,5.33,1.41,4.63,6.3,5.0,3.33,2.71,3.22,14.82,,,15.38,2.22,51.88,3.52,1.48,25.2,1.45,16675.87,17787.59,248.29,,194.17,106.91,33.35,9.63,833.79,,49.41,34.59,116.11,120.44,1278.48,1139.52,1834.35,1871.4,,,4743.36,4.49,0,62.4709,-114.4053,Northwest Territories,19569.0
96,Squamish,13.34,59.29,7.41,5.93,6.49,2.87,1.5,1.1,1.84,3.06,3.71,3.42,10.38,13.99,14.45,3.08,3.64,4.57,4.24,2.61,2.17,2.61,2.02,12.6,3.15,4.26,11.86,1.57,,2.52,1.39,25.2,1.52,14822.99,14822.99,148.23,0.15,69.42,53.36,19.27,11.12,1148.78,10746.67,69.11,45.21,88.75,109.13,1469.95,1247.6,2594.02,2371.68,,6789.0,2223.45,6.83,0,49.7017,-123.1589,British Columbia,19512.0
97,Riviere-du-Loup,,,,,,,,,1.48,1.48,1.48,1.85,,,,,,,,,,2.22,,11.12,,,,,,,,,,,,59.29,,51.88,,5.93,7.41,,,66.7,74.11,59.29,85.23,,,,,,,,2.13,0,47.8333,-69.5333,Quebec,19447.0
98,Cobourg,,51.88,8.15,4.17,5.28,2.5,1.92,1.48,1.47,1.85,1.4,3.18,5.93,5.03,4.45,2.37,1.19,3.4,2.88,1.4,2.96,1.39,1.47,8.89,1.3,1.56,12.97,2.13,92.64,4.35,1.02,33.35,1.49,16580.63,16044.04,170.46,,38.29,50.03,,9.63,1037.61,19825.76,88.94,59.29,88.94,163.05,1407.69,2234.57,4211.95,1852.87,,555.86,,2.0,0,43.9667,-78.1667,Ontario,19440.0
99,Cranbrook,,,7.41,5.56,4.72,3.52,1.15,1.27,1.45,1.96,2.85,3.48,14.82,8.34,,4.79,0.9,5.62,4.67,3.47,2.17,3.08,3.73,11.12,,5.93,10.75,2.22,26.68,7.41,1.84,16.31,1.57,15193.57,16305.29,169.17,0.25,57.44,38.85,5.56,8.89,667.03,12601.77,55.34,57.32,90.66,101.29,839.97,815.26,1667.59,1593.47,,,2766.96,4.42,0,49.5097,-115.7667,British Columbia,19259.0
100,Salmon Arm,,,6.66,4.45,4.26,3.89,1.47,0.93,2.22,2.22,8.89,2.96,,18.53,,2.22,1.48,2.22,3.71,2.22,2.22,2.96,2.22,18.53,,,14.82,2.22,66.7,2.96,1.11,22.23,1.6,18528.74,18528.74,189.92,0.13,50.03,37.06,0.0,9.26,667.03,2964.6,46.2,29.65,74.11,74.11,1297.01,1297.01,1852.87,1852.87,,,,2.0,0,50.7022,-119.2722,British Columbia,17706.0
101,Midland,,,8.89,4.45,5.93,2.96,1.48,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44.75,-79.8833,Ontario,16864.0
102,Swift Current,,,,,,,,,1.11,2.03,,2.96,,,,,1.29,,3.25,,,,2.22,,,,,2.22,,5.93,,,1.3,,,,,74.11,37.06,,,,,66.7,,,,,,815.26,,,,,5.0,0,50.2881,-107.7939,Saskatchewan,16604.0
103,Yorkton,14.82,29.65,8.89,3.71,4.82,2.78,1.67,1.65,1.58,1.91,3.05,2.78,10.28,10.9,10.93,3.15,1.44,3.11,2.88,1.91,1.14,1.11,0.64,7.41,2.98,3.52,12.97,1.48,44.47,2.96,1.45,22.23,1.35,20752.19,20322.33,210.42,0.25,54.66,25.94,22.23,11.86,567.6,7893.24,48.17,41.92,83.17,109.32,,,,,,,,4.66,0,51.2139,-102.4628,Saskatchewan,16343.0
104,Comox,18.16,74.11,8.71,3.71,5.93,3.71,1.73,1.16,1.26,1.91,2.66,3.3,12.69,11.52,14.7,3.15,1.43,3.44,3.49,2.78,1.99,1.77,1.27,14.08,2.12,2.22,11.86,1.48,40.76,2.71,1.43,26.9,1.58,22234.49,15966.22,91.93,0.26,62.95,44.47,0.0,10.75,1059.84,2816.37,55.59,32.12,64.85,114.61,1250.69,1334.07,1852.87,1593.47,,,3088.12,3.73,0,49.6733,-124.9022,British Columbia,14828.0
105,Summerside,11.86,59.29,8.89,4.45,5.93,3.36,1.64,1.37,2.1,2.22,5.37,2.74,6.3,11.73,13.14,4.85,1.41,3.53,4.24,2.0,2.32,2.28,1.42,11.12,2.94,3.22,10.55,,,3.71,1.56,25.2,1.37,22234.49,21863.73,74.11,0.06,74.95,37.06,,10.19,541.04,22234.49,48.74,26.68,75.48,123.52,778.21,574.39,1334.07,1111.72,,,,6.55,0,46.4,-63.7833,Prince Edward Island,14829.0
106,Canmore,16.31,129.7,7.41,5.56,6.67,4.08,1.9,1.74,2.03,2.71,5.04,3.23,11.86,14.48,23.72,4.69,1.67,3.87,5.5,3.43,3.96,2.59,2.27,13.34,2.96,3.71,12.23,1.48,33.35,5.56,2.96,,1.41,19750.16,12005.14,184.05,0.22,76.59,67.94,33.35,7.41,963.49,,66.7,59.29,83.38,111.17,1420.54,1309.36,2408.74,2371.68,4987.32,,1778.76,7.0,0,51.089,-115.359,Alberta,13992.0
107,Powell River,18.53,55.59,9.26,5.93,8.15,3.52,1.76,2.49,1.73,2.39,4.88,4.08,18.06,8.94,7.04,4.82,2.17,4.56,4.94,3.34,3.83,2.78,2.28,10.75,3.71,7.41,11.12,1.85,22.23,2.11,1.84,29.65,1.64,,,96.24,,60.53,52.62,0.0,8.89,,,41.69,38.91,75.04,91.41,926.44,926.44,1408.18,1383.48,3988.83,3191.07,2816.37,6.25,0,49.8353,-124.5247,British Columbia,13157.0
108,Truro,18.53,64.85,7.41,4.45,4.82,2.89,1.72,1.58,2.11,2.22,0.93,3.15,8.89,11.07,13.0,0.74,1.43,5.15,1.11,0.74,0.74,1.85,0.67,11.12,2.41,3.71,13.71,5.93,,2.22,2.22,18.53,1.39,13790.06,12723.61,149.83,0.22,75.7,129.7,11.12,5.93,685.56,22234.49,48.17,27.79,59.29,59.29,,,815.26,,,,,1.69,0,45.3647,-63.28,Nova Scotia,12826.0
109,Prince Rupert,,40.76,9.26,4.45,5.19,2.59,1.48,0.74,1.71,2.96,,2.61,,5.19,,,,,,,,2.22,0.74,12.97,,,11.12,1.67,,3.34,2.96,25.2,1.6,22234.49,21847.12,196.4,0.2,44.47,55.59,7.41,8.89,889.38,,50.03,27.79,70.16,80.29,1259.95,1185.84,1556.41,1778.76,,,,,0,54.3122,-130.3271,British Columbia,12220.0
110,Whistler,14.82,74.11,8.89,5.19,5.93,3.83,1.67,1.5,3.1,2.67,3.85,3.46,9.81,13.46,12.78,2.78,1.61,3.2,5.99,1.25,1.83,2.52,2.72,14.82,3.92,4.79,11.86,1.85,37.06,2.43,1.48,24.87,1.6,22234.49,17984.93,83.32,0.22,56.05,58.4,11.12,11.12,889.38,11858.4,49.1,29.18,83.38,95.11,1982.58,1630.53,3798.39,2871.96,,,1334.07,6.03,0,50.1208,-122.9544,British Columbia,11854.0
111,Williams Lake,,,,,,,,,4.81,2.64,1.52,3.66,,11.48,,1.25,0.51,1.32,1.96,1.99,2.13,1.47,2.66,22.95,2.65,2.22,9.97,1.3,,4.45,1.38,29.65,1.56,22234.49,20011.04,55.59,0.19,44.47,,22.23,,,,59.28,111.17,92.64,240.87,741.15,1092.36,1191.66,1191.66,,,,,0,52.1294,-122.1383,British Columbia,10753.0
112,Sechelt,3.71,74.11,5.56,3.71,5.19,3.34,1.57,1.48,1.77,2.76,7.18,3.52,13.32,18.16,15.93,3.65,1.94,3.54,3.96,3.64,1.82,2.09,1.85,11.12,2.12,2.22,11.49,1.48,,2.71,1.7,29.65,1.6,25262.09,37057.49,79.01,0.37,72.26,37.98,44.47,11.12,963.49,2816.37,81.53,43.23,79.06,103.76,1259.95,1111.72,2001.1,1630.53,,,,5.32,0,49.4742,-123.7542,British Columbia,10200.0
113,Castlegar,24.09,66.7,9.26,4.45,5.19,3.15,2.03,1.38,0.84,1.85,2.59,3.4,11.12,,16.33,1.96,,2.43,4.56,0.82,,1.4,,,4.01,3.34,11.67,1.76,,3.52,,,1.6,14081.85,20381.62,164.23,,72.63,33.35,,9.63,,,66.7,,75.97,59.29,1278.48,982.02,1408.18,1482.3,,,3186.94,3.4,0,49.3256,-117.6661,British Columbia,8039.0
114,Banff,24.09,111.17,7.41,5.56,6.3,4.08,1.9,1.74,2.03,2.56,5.04,3.42,12.59,14.48,30.63,4.69,1.67,5.26,5.49,4.21,3.96,3.49,3.59,13.34,3.04,3.86,14.82,1.48,48.17,5.56,2.96,19.27,1.39,25940.24,22234.49,204.74,0.33,76.89,66.7,29.65,9.63,870.85,,61.14,59.29,100.06,129.7,1358.77,1482.3,2346.97,2371.68,5301.28,,3211.65,6.58,0,51.1781,-115.5719,Alberta,7847.0
115,Peace River,14.08,42.62,8.15,5.56,6.3,4.29,1.82,1.86,2.24,2.52,3.62,3.81,6.67,8.89,,4.08,0.65,,,,,1.85,,,,,14.82,,,7.41,1.11,,1.32,,,77.86,,69.48,,,12.97,,,35.2,,59.29,,,,,,,,,5.47,0,56.2339,-117.2897,Alberta,6842.0
116,Parry Sound,,,8.89,5.93,5.93,3.15,2.41,1.67,1.65,1.83,1.85,2.59,13.34,,,,1.1,,,,,,,10.0,1.85,2.15,11.12,,,,,,1.44,,,,,,,,,,,,,,,815.26,741.15,993.05,,,,,,0,45.3333,-80.0333,Ontario,6408.0
117,La Ronge,,37.06,8.89,4.45,4.82,2.22,1.85,1.48,1.85,1.85,5.93,2.52,9.63,9.05,9.8,3.7,2.22,3.7,2.96,4.44,2.22,0.73,0.93,11.49,,4.82,11.49,,,3.71,2.96,40.76,,20752.19,17787.59,188.99,,50.03,38.91,,9.45,296.46,,33.35,37.06,74.11,63.0,592.92,592.92,741.15,741.15,,,,2.64,0,55.1,-105.3,Saskatchewan,5671.0
118,Flin Flon,,,11.12,4.45,5.19,,2.22,1.48,3.59,2.22,2.96,4.82,7.41,9.26,11.12,5.93,4.45,5.93,4.82,4.08,3.34,2.22,2.59,8.89,,,14.82,1.48,,3.71,,37.06,1.45,,,111.17,,76.59,51.88,37.06,,,,,,,,,589.21,,,,,,,0,54.7667,-101.8778,Saskatchewan,5185.0
119,Iqaluit,29.65,74.27,13.71,6.67,8.89,3.71,3.52,4.08,2.53,2.95,6.86,3.71,8.8,11.88,11.44,5.93,3.86,6.42,3.84,3.59,3.84,3.35,4.01,14.82,,,14.82,6.3,,5.93,,,,,,259.4,0.07,84.0,71.64,,10.01,,,,,,,,,2964.6,2964.6,,,,6.53,0,63.7598,-68.5107,Nunavut,7740.0
